Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            343  14E 0009EBC0 NtDisplayString
            344  14F 0009EBE0 NtDrawText
            345  150 0009D7D0 NtDuplicateObject
            346  151 0009D890 NtDuplicateToken
            347  152 0009EC00 NtEnableLastKnownGood
            348  153 0009EC20 NtEnumerateBootEntries
            349  154 0009EC40 NtEnumerateDriverEntries
            350  155 0009D690 NtEnumerateKey
            351  156 0009EC60 NtEnumerateSystemEnvironmentValuesEx
            352  157 0009EC80 NtEnumerateTransactionObject
            353  158 0009D2B0 NtEnumerateValueKey
            354  159 0009ECA0 NtExtendSection
            355  15A 0009ECC0 NtFilterBootOption
            356  15B 0009ECE0 NtFilterToken
            357  15C 0009ED00 NtFilterTokenEx
            358  15D 0009D2D0 NtFindAtom
            359  15E 0009D9B0 NtFlushBuffersFile
            360  15F 0009ED20 NtFlushBuffersFileEx
            361  160 0009ED40 NtFlushInstallUILanguage
            362  161 0009ED60 NtFlushInstructionCache
            363  162 0009ED80 NtFlushKey
            364  163 0009EDA0 NtFlushProcessWriteBuffers
            365  164 0009EDC0 NtFlushVirtualMemory
            366  165 0009EDE0 NtFlushWriteBuffer
            367  166 0009EE00 NtFreeUserPhysicalPages
            368  167 0009D410 NtFreeVirtualMemory
            369  168 0009EE20 NtFreezeRegistry
            370  169 0009EE40 NtFreezeTransactions
            371  16A 0009D770 NtFsControlFile
            372  16B 0009EE60 NtGetCachedSigningLevel
            373  16C 0009EE80 NtGetCompleteWnfStateSubscription
            374  16D 0009EEA0 NtGetContextThread
            375  16E 0009EEC0 NtGetCurrentProcessorNumber
            376  16F 0009EEE0 NtGetCurrentProcessorNumberEx
            377  170 0009EF00 NtGetDevicePowerState
            378  171 0009EF20 NtGetMUIRegistryInfo
            379  172 0009EF40 NtGetNextProcess
            380  173 0009EF60 NtGetNextThread
            381  174 0009EF80 NtGetNlsSectionPtr
            382  175 0009EFA0 NtGetNotificationResourceManager
            383  176 000E5D40 NtGetTickCount
            384  177 0009EFC0 NtGetWriteWatch
            385  178 0009EFE0 NtImpersonateAnonymousToken
            386  179 0009D430 NtImpersonateClientOfPort
            387  17A 0009F000 NtImpersonateThread
            388  17B 0009F020 NtInitializeEnclave
            389  17C 0009F040 NtInitializeNlsFiles
            390  17D 0009F060 NtInitializeRegistry
            391  17E 0009F080 NtInitiatePowerAction
            392  17F 0009DA30 NtIsProcessInJob
            393  180 0009F0A0 NtIsSystemResumeAutomatic
            394  181 0009F0C0 NtIsUILanguageComitted
            395  182 0009F0E0 NtListenPort
            396  183 0009F100 NtLoadDriver
            397  184 0009F120 NtLoadEnclaveData
            398  185 0009F140 NtLoadKey
            399  186 0009F160 NtLoadKey2
            400  187 000A0B20 NtLoadKey3
            401  188 0009F180 NtLoadKeyEx
            402  189 0009F1A0 NtLockFile
            403  18A 0009F1C0 NtLockProductActivationKeys
            404  18B 0009F1E0 NtLockRegistryKey
            405  18C 0009F200 NtLockVirtualMemory
            406  18D 0009F220 NtMakePermanentObject
            407  18E 0009F240 NtMakeTemporaryObject
            408  18F 0009F260 NtManageHotPatch
            409  190 0009F280 NtManagePartition
            410  191 0009F2A0 NtMapCMFModule
            411  192 0009F2C0 NtMapUserPhysicalPages
            412  193 0009D0B0 NtMapUserPhysicalPagesScatter
            413  194 0009D550 NtMapViewOfSection
            414  195 0009F2E0 NtMapViewOfSectionEx
            415  196 0009F300 NtModifyBootEntry
            416  197 0009F320 NtModifyDriverEntry
            417  198 0009F340 NtNotifyChangeDirectoryFile
            418  199 0009F360 NtNotifyChangeDirectoryFileEx
